line_no	entry_id	original_heading	proposed_status	proposed_target	basis
4093	341	2026-08-14: Narrating a severance re-introduces the severed content [tag: drafting-cycle]	pending		no-implemented-proposal
4101	342	2026-08-14: A clone is diffed section-by-section, never token-swapped — 17 of 18 findings were origin-carried and one would have halted a correct run [tag: drafting-cycle]	pending		no-implemented-proposal
4109	343	2026-08-14: The marker-collision fired on the first artifact written after it shipped [tag: verification]	pending		no-implemented-proposal
4117	344	2026-08-14: A session that crosses midnight carries a stale date into every slug it authors [tag: operational-recovery]	pending		no-implemented-proposal
4125	345	"2026-08-14: A residual ""everything else"" bucket silently absorbs the class that deserved its own bin [tag: governance-design]"	learned	PLANNER_TEMPLATE.md	detector-PASS(ratio=0.67,phrases=0)
4134	346	2026-08-16: A fold lands where the defect was NOTICED — and by the third reviewer that failure has moved BETWEEN the folds [tag: drafting-cycle]	pending		no-implemented-proposal
4146	347	2026-08-16: A decision table's correctness is a property of its STATE SPACE — enumerate it in code, because reading cannot [tag: verification]	pending		no-implemented-proposal
4158	348	2026-08-16: A guard that observes an EXIT CODE has not observed its EFFECT [tag: verification]	pending		no-implemented-proposal
4170	349	2026-08-16: The probe must match the INSTRUMENT the plan prescribes, not just the target [tag: verification]	pending		no-implemented-proposal
4181	350	2026-08-16: The freeze checklist is the least-sticky section in a clone — dropped four times in one day [tag: planner-discipline]	pending		no-implemented-proposal
4192	351	2026-08-18: Fold damage is POSITIONAL, and presence probes are structurally blind to it [tag: drafting-cycle]	pending		no-implemented-proposal
4206	352	2026-08-18: `plan_lint`'s dryness check disagrees with §2's bar, and its false-clean rate RISES as a cycle converges [tag: instrumentation]	pending		no-implemented-proposal
4219	353	2026-08-18: A CEO decision folded into a plan is an unread fold round, and behaves exactly like one [tag: drafting-cycle]	pending		no-implemented-proposal
4231	354	2026-08-18: Price a finding's severity against evidence, not against how alarming it reads [tag: verification]	pending		no-implemented-proposal
4242	355	2026-08-18: A watcher must key on the signal the system actually emits, not the state you expect it to write [tag: bellows-integration]	pending		no-implemented-proposal
4253	356	2026-08-18: A predicted deposit filename must be derived from the code that stamps it, not from the local session date [tag: planner-discipline]	pending		no-implemented-proposal
4266	357	2026-05-20: Bellows verdict and pause mechanics — three failures in one session [tag: bellows-integration]	pending		no-implemented-proposal
4280	358	2026-05-22: Phase 1.5 must scan halted-* plans, not just research/feedback [tag: planner-discipline]	pending		no-implemented-proposal
4293	359	2026-05-22: Diagnostics that depend on production data must gate on data availability [tag: planner-discipline]	pending		no-implemented-proposal
4306	360	2026-05-22: Amendment plans should scope sections to revise, not re-do the work [tag: planner-discipline]	pending		no-implemented-proposal
4319	361	2026-05-30: Worktree regression on restart-during-pause; Planner-direct recovery; plan header needs a title line [tag: bellows-integration]	pending		no-implemented-proposal
4332	362	2026-08-18: A UTF-8 dev machine cannot reproduce a cp1252 failure — the only guard is an ASCII-assertion test [tag: execution-environment]	pending		no-implemented-proposal
4345	363	2026-08-18: An autouse isolation fixture can be silently bypassed by import binding — verify isolation per-path before writing tests that write [tag: test-infrastructure]	pending		no-implemented-proposal
4358	364	"2026-08-18: A domain pattern that looks like corrupted data may be the contract — confirm with the domain owner before ""correcting"" it [tag: verification]"	pending		no-implemented-proposal
4370	365	2026-08-18: When a validator rejects an extraction, suspect the extraction before relaxing the validator [tag: verification]	pending		no-implemented-proposal
4381	366	2026-08-19: The sibling-sweep discipline has a measured floor — when pre-existing yield hits zero while total yield does not fall, stop walking and run a mechanical check [tag: drafting-cycle]	pending		no-implemented-proposal
4397	367	2026-08-19: The last fold round before a deposit has no executor — folds made after the execution seat are never run by anyone [tag: drafting-cycle]	pending		no-implemented-proposal
4410	368	2026-08-19: A cold seat's proposed FIX is an unexecuted hypothesis, and the seat's own report often already contains the real one [tag: drafting-cycle]	pending		no-implemented-proposal
4422	369	2026-08-19: A cross-step carrier cannot live inside the commit whose hash it carries [tag: bellows-integration]	pending		no-implemented-proposal
4435	370	2026-08-19: A knowledge destination that is not ingested cannot improve the system — route by what ACTS on the knowledge, not only by who must not be wrong [tag: planner-discipline]	pending		no-implemented-proposal
4455		2026-08-19: A clone-diff needs THREE passes — facts, artefacts, structure — and each finds what the others structurally cannot [tag: drafting-cycle]	pending		unmatched-therefore-pending
4472		2026-08-19: Anchor a path where its file LIVES FOR GIT — tracked to the worktree, untracked to main [tag: bellows-integration]	pending		unmatched-therefore-pending
4487		2026-08-19: A shipped, correctly-routed shop rule can produce the WRONG action in a specific context — and nothing in the cycle asks which of our own rules would mislead [tag: planner-discipline]	pending		unmatched-therefore-pending
4500		2026-08-19: A declaration/consumer pair fails in BOTH directions, and fixing one half tends to break the other [tag: verification]	pending		unmatched-therefore-pending
4516		2026-08-19: A correction can OPEN a gap — removing a false belief without installing the true requirement it implied [tag: drafting-cycle]	pending		unmatched-therefore-pending
4531		2026-08-19: A malformed sqlite3 URI silently CREATES a decoy database, and no gate audits for stray files [tag: verification]	pending		unmatched-therefore-pending
4546		2026-08-19: A periodic task at an un-guarded loop boundary must own its exception guard — never inherit a hoped-for one [tag: drafting-cycle, bellows-integration]	pending		unmatched-therefore-pending
4560		2026-08-21: Before hand-building a classification, registry, or index, check whether the system already maintains one — the existing pipeline may be further along than the one you are designing  [tag: planner-discipline] [tag: verification] [tag: process-discipline]	pending		unmatched-therefore-pending
4566		2026-08-21: A workflow can be correctly mechanized and still be wrong at the destination — check what the pipeline's target set CONTAINS, not just that it runs  [tag: process-discipline] [tag: governance-design] [tag: planner-discipline]	pending		unmatched-therefore-pending
4572		2026-08-21: `content_hash` detects modification, not identity — it is the wrong key for reconciling a corpus against its source file  [tag: verification] [tag: mechanics]	pending		unmatched-therefore-pending
4578		2026-08-21: CEO DECISION — `glossary.md` is the per-repo home for DOMAIN KNOWLEDGE; `CLAUDE.md` stays operating protocol  [tag: governance-design] [tag: process-discipline]	pending		unmatched-therefore-pending
4593		2026-08-22: A single-arm probe against a drifting corpus is uninterpretable — run a controlled A/B so the change's effect separates from pre-existing noise  [tag: verification] [tag: planner-discipline] [tag: qa-discipline]	pending		unmatched-therefore-pending
4599		"2026-08-22: A function that computes a LOOKUP KEY must be the identity on every value already stored — incidental ""hygiene"" inside it silently orphans existing rows  [tag: verification] [tag: mechanics] [tag: bellows-integration]"	pending		unmatched-therefore-pending
4605		2026-08-22: Write the regression guard BEFORE the fix and watch it fail — a guard authored afterwards and only ever seen green discriminates nothing  [tag: qa-discipline] [tag: verification] [tag: process-discipline]	pending		unmatched-therefore-pending
